#{"t_start": 1756308190.024125, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,249,70.954346
0.0,133,71.076303
2.0,213,71.2697
1.0,156,71.412569
1.0,165,71.570447
4.0,276,71.827709
5.0,346,72.145018
1.0,191,72.332237
6.0,385,72.690483
0.0,136,72.822357
0.0,142,72.962449
2.0,206,73.155752
2.0,214,73.361156
0.0,138,73.493677
4.0,312,73.787925
3.0,266,74.039947
3.0,260,74.285733
3.0,241,74.513966
3.0,256,74.758456
3.0,256,74.995988
3.0,259,75.243662
3.0,258,75.485669
7.0,415,75.87604
0.0,131,76.000689
0.0,143,76.135776
0.0,134,76.264541
2.0,215,76.466947
0.0,130,76.592612
0.0,142,76.72845
3.0,263,76.975127
1.0,172,77.134266
3.0,259,77.374951
0.0,141,77.509332
1.0,193,77.691063
2.0,236,77.904596
6.0,384,78.262928
5.0,346,78.57648
4.0,305,78.861712
2.0,227,79.079306
1.0,156,79.224087
5.0,344,79.55018
2.0,206,79.755301
1.0,162,79.905752
2.0,227,80.11121
0.0,134,80.233329
3.0,239,80.453958
0.0,146,80.594559
0.0,129,80.718438
3.0,258,80.961031
3.0,230,81.17732
1.0,164,81.332159
1.0,194,81.516365
0.0,126,81.63934
1.0,171,81.802662
0.0,129,81.926201
0.0,127,82.043688
2.0,208,82.231793
4.0,315,82.523656
0.0,142,82.658899
0.0,136,82.78629
1.0,180,82.954175
2.0,214,83.154847
1.0,172,83.314462
0.0,133,83.441789
0.0,139,83.574394
0.0,141,83.70912
2.0,212,83.904017
6.0,388,84.26386
2.0,224,84.47547
4.0,302,84.752505
1.0,180,84.919363
8.0,382,85.273729
2.0,231,85.487871
1.0,174,85.652471
1.0,167,85.810677
0.0,137,85.944097
2.0,211,86.143256
3.0,236,86.369863
1.0,176,86.538658
0.0,140,86.671649
0.0,130,86.797588
0.0,138,86.932182
7.0,405,87.311891
0.0,130,87.43285
3.0,245,87.657384
2.0,209,87.848525
1.0,177,88.008255
2.0,223,88.214688
1.0,173,88.376973
1.0,160,88.530522
2.0,209,88.727504
1.0,180,88.897025
3.0,274,89.156054
0.0,127,89.282272
2.0,191,89.466383
1.0,174,89.632613
2.0,217,89.836495
1.0,184,90.013318
0.0,132,90.141406
2.0,234,90.36254
0.0,147,90.500962
0.0,127,90.625317
1.0,189,90.818407
0.0,141,90.953975
2.0,204,91.14559
0.0,137,91.277028
3.0,250,91.514311
1.0,195,91.697806
2.0,207,91.892824
0.0,136,92.021603
3.0,260,92.264186
0.0,129,92.383216
2.0,198,92.564224
1.0,179,92.725204
2.0,241,92.945775
2.0,227,93.160667
1.0,176,93.328274
2.0,234,93.55039
0.0,140,93.685459
0.0,125,93.803657
1.0,175,93.969075
2.0,210,94.163687
1.0,178,94.334361
0.0,140,94.468674
1.0,174,94.631927
1.0,175,94.798811
5.0,353,95.119427
3.0,245,95.347426
5.0,347,95.660479
2.0,216,95.862346
4.0,298,96.137568
3.0,227,96.348885
0.0,132,96.476181
5.0,354,96.807562
2.0,205,96.996349
0.0,128,97.117623
0.0,141,97.251323
2.0,233,97.463654
0.0,136,97.587823
2.0,242,97.809411
2.0,202,97.995306
3.0,263,98.238297
1.0,154,98.383873
1.0,169,98.542157
3.0,251,98.770793
0.0,129,98.895196
3.0,250,99.131364
1.0,167,99.29031
2.0,226,99.501992
10.0,397,99.871339
2.0,209,100.071818
0.0,134,100.198698
5.0,375,100.549274
1.0,183,100.721541
0.0,137,100.851129
2.0,205,101.042626
2.0,232,101.258727
5.0,312,101.558745
0.0,148,101.697931
1.0,184,101.870481
1.0,182,102.042971
1.0,181,102.213736
4.0,311,102.503061
2.0,201,102.693071
1.0,162,102.846336
1.0,159,103.00256
2.0,200,103.193647
4.0,247,103.429988
1.0,157,103.583233
2.0,206,103.775276
3.0,292,104.047167
2.0,198,104.235096
2.0,240,104.46267
1.0,189,104.642652
2.0,211,104.842376
4.0,291,105.118619
3.0,244,105.350346
3.0,244,105.576546
2.0,235,105.799359
0.0,137,105.930569
1.0,155,106.079952
2.0,246,106.311028
2.0,207,106.505542
2.0,219,106.713391
2.0,216,106.919249
1.0,157,107.072095
1.0,187,107.248911
0.0,133,107.376376
1.0,160,107.530131
2.0,231,107.748751
2.0,226,107.963199
3.0,254,108.204523
1.0,182,108.376505
0.0,135,108.506101
3.0,266,108.756719
2.0,200,108.948916
2.0,212,109.149505
1.0,163,109.309781
1.0,166,109.468435
2.0,243,109.697024
3.0,259,109.942933
0.0,131,110.071979
3.0,258,110.318097
0.0,128,110.440291
3.0,244,110.671456
2.0,186,110.850094
2.0,192,111.030199
0.0,141,111.163726
3.0,283,111.431818
1.0,198,111.6198
2.0,197,111.806588
0.0,149,111.949637
7.0,428,112.348301
2.0,197,112.535489
3.0,283,112.804189
3.0,224,113.01266
0.0,139,113.142993
1.0,160,113.296477
3.0,277,113.558561
6.0,375,113.908784
4.0,297,114.182072
0.0,148,114.31927
0.0,133,114.441219
2.0,205,114.631953
0.0,137,114.760638
3.0,254,114.996929
3.0,268,115.246814
0.0,137,115.378581
0.0,129,115.501806
0.0,132,115.628898
0.0,146,115.767893
1.0,160,115.919395
1.0,175,116.086088
6.0,387,116.451663
4.0,302,116.729229
2.0,211,116.930822
1.0,176,117.096992
0.0,129,117.216164
3.0,252,117.456961
5.0,317,117.750499
3.0,282,118.015334
2.0,239,118.236712
1.0,163,118.389465
6.0,393,118.756602
2.0,209,118.950763
2.0,203,119.155931
1.0,168,119.315804
2.0,201,119.506272
0.0,130,119.628997
0.0,133,119.75503
3.0,287,120.023736
3.0,248,120.25705
1.0,161,120.41261
0.0,129,120.534135
2.0,208,120.729154
0.0,131,120.852345
4.0,292,121.123895
2.0,208,121.321463
5.0,348,121.650255
0.0,144,121.789424
4.0,316,122.081741
2.0,223,122.287131
2.0,187,122.462952
0.0,131,122.588125
2.0,208,122.781798
7.0,302,123.066379
2.0,223,123.278429
1.0,171,123.436698
2.0,230,123.64658
3.0,274,123.898284
2.0,205,124.088186
1.0,176,124.253056
4.0,312,124.548939
1.0,176,124.715221
1.0,192,124.897651
0.0,129,125.01909
0.0,140,125.155297
2.0,244,125.382249
2.0,207,125.572237
2.0,205,125.763402
2.0,182,125.941012
2.0,224,126.151263
5.0,368,126.499451
4.0,335,126.820195
2.0,210,127.018909
1.0,157,127.171446
4.0,280,127.436252
2.0,204,127.63116
2.0,198,127.818548
2.0,232,128.036983
5.0,350,128.365533
2.0,209,128.566763
3.0,235,128.784639
2.0,222,128.998307
0.0,143,129.134703
0.0,127,129.253938
3.0,255,129.496969
2.0,203,129.690094
4.0,302,129.983945
2.0,204,130.178244
0.0,135,130.309791
0.0,124,130.431397
2.0,189,130.611411
2.0,200,130.80125
1.0,182,130.977955
1.0,157,131.128135
0.0,126,131.25362
3.0,236,131.475542
5.0,353,131.801691
5.0,334,132.111387
0.0,141,132.246507
0.0,128,132.371596
2.0,209,132.570358
1.0,187,132.747125
5.0,319,133.041114
1.0,197,133.222221
5.0,341,133.533271
1.0,181,133.704127
2.0,226,133.913041
3.0,230,134.133564
2.0,202,134.322948
0.0,126,134.446408
2.0,213,134.652089
2.0,228,134.871436
1.0,153,135.02058
2.0,211,135.220373
1.0,181,135.394945
2.0,212,135.598273
0.0,137,135.730438
0.0,128,135.85453
2.0,204,136.047336
0.0,134,136.176625
1.0,183,136.349436
2.0,189,136.528008
2.0,218,136.734822
4.0,322,137.040527
1.0,172,137.206433
1.0,157,137.361591
2.0,238,137.58943
3.0,275,137.849383
2.0,228,138.069719
3.0,279,138.339489
2.0,211,138.541914
2.0,209,138.741508
0.0,130,138.862165
1.0,184,139.036458
3.0,220,139.244067
1.0,161,139.39749
3.0,245,139.633424
2.0,244,139.864355
1.0,159,140.015728
0.0,137,140.148661
0.0,137,140.278462
2.0,200,140.471439
3.0,267,140.728402
2.0,203,140.922228
1.0,203,141.117905
2.0,224,141.335574
1.0,172,141.504015
1.0,192,141.686141
2.0,205,141.883643
0.0,131,142.006887
0.0,128,142.128512
2.0,219,142.328437
2.0,210,142.524113
1.0,174,142.687797
2.0,207,142.878957
1.0,173,143.038787
1.0,166,143.19014
5.0,322,143.484949
3.0,252,143.717184
0.0,130,143.838269
0.0,138,143.969593
1.0,159,144.119068
0.0,131,144.24065
5.0,350,144.56613
1.0,174,144.727471
3.0,261,144.972543
1.0,158,145.122137
4.0,302,145.402323
2.0,202,145.591704
2.0,225,145.808942
1.0,184,145.983645
10.0,527,146.479135
0.0,136,146.608983
0.0,129,146.758465
2.0,214,146.957576
4.0,270,147.205754
0.0,129,147.333961
2.0,219,147.544932
1.0,156,147.693254
2.0,230,147.912846
0.0,131,148.039196
2.0,202,148.234334
5.0,361,148.572088
0.0,127,148.694531
1.0,160,148.846564
0.0,130,148.974053
5.0,336,149.289083
4.0,267,149.542531
1.0,164,149.701302
1.0,182,149.881354
0.0,136,150.01504
6.0,348,150.338991
1.0,159,150.487739
2.0,223,150.699723
2.0,222,150.908808
2.0,209,151.107378
2.0,223,151.313118
1.0,173,151.473799
3.0,260,151.710613
3.0,269,151.954055
2.0,184,152.124405
3.0,275,152.37717
0.0,129,152.50054
5.0,371,152.845769
2.0,214,153.043984
4.0,337,153.355132
3.0,269,153.610404
2.0,203,153.802848
0.0,152,153.942418
1.0,161,154.095673
2.0,186,154.269255
3.0,234,154.485644
4.0,304,154.764002
1.0,178,154.934778
1.0,157,155.084653
2.0,202,155.276371
3.0,232,155.493473
1.0,165,155.653732
0.0,137,155.78295
2.0,219,155.985836
0.0,141,156.117482
1.0,158,156.266878
2.0,217,156.471588
9.0,425,156.863482
4.0,268,157.112765
1.0,164,157.269352
2.0,188,157.446507
2.0,225,157.65841
4.0,300,157.942944
4.0,279,158.207805
5.0,327,158.514617
4.0,267,158.764263
5.0,321,159.067253
2.0,239,159.286376
4.0,288,159.561917
1.0,155,159.710424
4.0,265,159.964259
5.0,350,160.289476
4.0,302,160.56512
0.0,135,160.689987
1.0,153,160.8326
1.0,186,161.008079
1.0,180,161.17557
2.0,200,161.360085
1.0,177,161.524309
4.0,284,161.782535
2.0,200,161.964685
2.0,220,162.169341
6.0,379,162.527014
2.0,231,162.74174
3.0,232,162.958879
1.0,172,163.122442
3.0,255,163.358184
1.0,186,163.533542
4.0,319,163.824556
1.0,156,163.973662
1.0,164,164.130548
3.0,255,164.368536
1.0,181,164.54354
3.0,234,164.769064
2.0,204,164.960125
2.0,212,165.15878
2.0,204,165.354725
2.0,229,165.570711
2.0,185,165.747832
6.0,400,166.123217
3.0,261,166.371078
1.0,157,166.519082
1.0,152,166.660506
0.0,125,166.78087
4.0,280,167.048359
1.0,151,167.190554
4.0,290,167.469092
0.0,126,167.590639
1.0,179,167.76231
0.0,130,167.888588
3.0,254,168.121816
3.0,282,168.383718
3.0,276,168.639658
2.0,211,168.838455
3.0,235,169.05588
3.0,255,169.300693
2.0,200,169.491914
2.0,225,169.703597
0.0,134,169.828941
2.0,230,170.04431
1.0,157,170.192923
1.0,156,170.3422
2.0,202,170.533789
0.0,132,170.66004
3.0,286,170.927069
1.0,181,171.094785
4.0,297,171.372272
1.0,174,171.538613
1.0,156,171.690142
0.0,128,171.81705
3.0,253,172.061208
3.0,229,172.280501
0.0,124,172.399768
1.0,186,172.579439
3.0,241,172.808894
1.0,156,172.959603
2.0,211,173.158041
0.0,127,173.281491
1.0,181,173.457243
2.0,220,173.666071
1.0,177,173.838946
5.0,322,174.143335
1.0,173,174.310259
0.0,124,174.428993
1.0,189,174.602367
1.0,175,174.765862
0.0,140,174.898294
3.0,258,175.152501
2.0,200,175.334011
2.0,223,175.53643
1.0,195,175.724327
1.0,178,175.893321
0.0,133,176.017194
3.0,240,176.242415
4.0,307,176.53135
0.0,129,176.657125
2.0,204,176.84914
4.0,328,177.157856
3.0,237,177.378622
2.0,234,177.602681
4.0,307,177.891453
0.0,130,178.02107
2.0,225,178.234813
6.0,394,178.595644
1.0,179,178.76848
0.0,131,178.894623
4.0,326,179.201386
2.0,207,179.39026
1.0,182,179.563297
2.0,204,179.759788
0.0,130,179.885455
0.0,130,180.011808
3.0,260,180.261851
1.0,165,180.419262
2.0,221,180.625125
3.0,238,180.85348
2.0,208,181.060633
1.0,176,181.232517
4.0,286,181.503369
1.0,171,181.675562
4.0,287,181.94906
0.0,129,182.074575
2.0,234,182.301423
4.0,296,182.585273
3.0,246,182.824095
6.0,376,183.182167
1.0,174,183.346281
4.0,262,183.596272
0.0,131,183.721941
2.0,225,183.938553
4.0,314,184.237781
2.0,230,184.459387
2.0,211,184.657324
4.0,325,184.963662
3.0,276,185.223905
2.0,227,185.441514
2.0,224,185.65641
0.0,125,185.776745
1.0,179,185.945569
0.0,130,186.070095
3.0,252,186.303434
3.0,281,186.566468
2.0,212,186.76152
1.0,188,186.936454
3.0,287,187.211977
4.0,311,187.510139
3.0,251,187.745714
3.0,264,187.992242
3.0,254,188.226476
5.0,349,188.563787
1.0,165,188.720391
2.0,232,188.943402
1.0,154,189.093941
4.0,304,189.38423
0.0,128,189.505933
0.0,124,189.62774
3.0,249,189.86646
2.0,210,190.065755
1.0,171,190.227915
0.0,130,190.349829
0.0,136,190.475918
4.0,306,190.764653
4.0,281,191.032615
1.0,178,191.207563
3.0,249,191.445094
6.0,364,191.80193
0.0,145,191.940701
1.0,177,192.108892
0.0,136,192.239958
1.0,154,192.389534
3.0,234,192.616438
3.0,262,192.866923
3.0,234,193.093533
3.0,249,193.335156
0.0,125,193.455331
3.0,241,193.686445
2.0,219,193.900213
3.0,231,194.121234
1.0,188,194.301475
1.0,166,194.458086
1.0,187,194.636425
1.0,182,194.809954
12.0,343,195.134664
4.0,307,195.430754
2.0,215,195.639063
1.0,156,195.791007
4.0,285,196.066298
1.0,166,196.228281
4.0,303,196.52184
6.0,349,196.858802
1.0,178,197.02983
1.0,153,197.176481
1.0,158,197.338561
2.0,225,197.548806
5.0,352,197.88624
3.0,242,198.120981
2.0,201,198.312691
4.0,265,198.56234
0.0,131,198.686766
1.0,173,198.85059
3.0,253,199.094296
3.0,271,199.353705
1.0,158,199.50535
2.0,190,199.692346
3.0,255,199.935907
3.0,261,200.179797
1.0,160,200.331329
2.0,189,200.514645
2.0,229,200.734317
2.0,185,200.912653
2.0,202,201.101921
1.0,175,201.270148
3.0,263,201.516332
1.0,160,201.670072
4.0,279,201.939904
4.0,282,202.210616
6.0,386,202.575144
4.0,282,202.841083
5.0,341,203.167364
1.0,156,203.322994
1.0,151,203.473056
3.0,245,203.707603
3.0,252,203.948636
0.0,133,204.079705
4.0,278,204.352071
4.0,305,204.645094
5.0,333,204.963795
3.0,215,205.177512
4.0,324,205.488916
1.0,183,205.667416
5.0,320,205.982113
0.0,130,206.107764
3.0,254,206.354599
3.0,281,206.623336
0.0,126,206.751806
1.0,178,206.924505
3.0,248,207.164297
2.0,212,207.368779
2.0,203,207.565616
3.0,259,207.815199
1.0,193,208.000404
2.0,209,208.200794
1.0,163,208.356104
3.0,243,208.588407
0.0,127,208.713979
2.0,218,208.922553
2.0,232,209.144002
2.0,224,209.360692
0.0,126,209.483285
2.0,230,209.705462
1.0,155,209.854347
1.0,179,210.028503
1.0,157,210.18269
3.0,259,210.424988
0.0,126,210.546102
1.0,160,210.699395
0.0,137,210.831457
0.0,125,210.951359
0.0,132,211.079013
3.0,249,211.319065
2.0,202,211.51538
0.0,132,211.642884
4.0,268,211.897063
1.0,171,212.061775
1.0,178,212.232648
3.0,273,212.496002
1.0,179,212.665421
0.0,122,212.787475
2.0,228,213.007259
4.0,280,213.274872
3.0,258,213.521425
3.0,238,213.746099
1.0,167,213.908402
3.0,284,214.179903
1.0,178,214.352751
0.0,131,214.477104
2.0,208,214.677884
3.0,257,214.921103
5.0,358,215.259969
5.0,294,215.54328
2.0,205,215.740703
0.0,127,215.864082
0.0,127,215.988807
8.0,309,216.286633
4.0,279,216.5616
1.0,160,216.719432
3.0,235,216.948064
3.0,239,217.179876
1.0,156,217.329879
1.0,176,217.497161
5.0,330,217.810705
0.0,132,217.939855
4.0,320,218.243436
3.0,227,218.462781
2.0,207,218.660817
4.0,297,218.943335
2.0,204,219.138163
6.0,382,219.500797
1.0,171,219.671195
3.0,247,219.909133
7.0,378,220.270658
5.0,326,220.584453
4.0,326,220.897208
0.0,125,221.019964
0.0,126,221.146769
2.0,189,221.330973
4.0,277,221.601639
3.0,266,221.855959
5.0,335,222.181709
6.0,389,222.553499
2.0,210,222.757959
3.0,233,222.98789
0.0,138,223.123362
0.0,131,223.253605
4.0,267,223.513548
9.0,403,223.896652
3.0,232,224.123406
2.0,223,224.339084
2.0,200,224.531581
3.0,277,224.800832
0.0,131,224.930014
0.0,129,225.058588
0.0,143,225.199464
1.0,176,225.367882
2.0,189,225.545768
3.0,252,225.789778
4.0,329,226.098355
6.0,377,226.460638
2.0,211,226.665569
3.0,249,226.90555
0.0,127,227.034598
1.0,156,227.192518
0.0,131,227.319852
0.0,127,227.443658
2.0,202,227.641148
1.0,165,227.804137
3.0,249,228.044684
1.0,182,228.221939
1.0,171,228.387707
4.0,330,228.707267
0.0,130,228.836773
4.0,309,229.138254
1.0,154,229.289657
2.0,225,229.51097
3.0,274,229.773751
2.0,215,229.980972
3.0,228,230.204317
5.0,318,230.5082
4.0,296,230.787882
0.0,137,230.919813
0.0,135,231.051709
2.0,202,231.250299
0.0,141,231.387976
2.0,198,231.58214
3.0,236,231.814602
4.0,264,232.069413
0.0,140,232.20809
1.0,174,232.376797
3.0,251,232.62105
1.0,154,232.772654
2.0,205,232.973687
3.0,229,233.199248
2.0,206,233.396821
0.0,129,233.526492
2.0,227,233.749892
2.0,196,233.93974
2.0,228,234.15851
2.0,228,234.380111
3.0,285,234.658035
0.0,133,234.788167
1.0,161,234.945208
2.0,221,235.158686
2.0,209,235.361727
4.0,277,235.635264
2.0,225,235.854968
1.0,161,236.013949
1.0,160,236.172434
1.0,175,236.357095
0.0,127,236.480182
2.0,207,236.680611
1.0,177,236.851107
2.0,203,237.049106
5.0,360,237.396057
2.0,230,237.62201
3.0,232,237.847751
7.0,329,238.16458
2.0,185,238.345331
1.0,151,238.495311
4.0,271,238.756512
